Time elapsed was 490928731278ns or 490.928731278s
Time elapsed was 492862397566ns or 492.862397566s
Time elapsed was 490832768400ns or 490.832768400s
Time elapsed was 494541714712ns or 494.541714712s
Time elapsed was 492565663172ns or 492.565663172s
Time elapsed was 491165992019ns or 491.165992019s
Time elapsed was 494923558688ns or 494.923558688s
Time elapsed was 492307989129ns or 492.307989129s
Time elapsed was 491033857065ns or 491.033857065s
Time elapsed was 494947832394ns or 494.947832394s
