Time elapsed was 210314 nanoseconds or 0.000210314 seconds
Time elapsed was 173161 nanoseconds or 0.000173161 seconds
Time elapsed was 554146 nanoseconds or 0.000554146 seconds
Time elapsed was 335139 nanoseconds or 0.000335139 seconds
Time elapsed was 255521 nanoseconds or 0.000255521 seconds
Time elapsed was 235085 nanoseconds or 0.000235085 seconds
Time elapsed was 527478 nanoseconds or 0.000527478 seconds
Time elapsed was 294002 nanoseconds or 0.000294002 seconds
Time elapsed was 220168 nanoseconds or 0.000220168 seconds
Time elapsed was 251225 nanoseconds or 0.000251225 seconds
